,load,hour_sin,hour_cos,day_sin,day_cos,dayofweek_sin,dayofweek_cos,week_sin,week_cos,month_sin,month_cos,is_holiday
2023-01-01 00:00:00+00:00,3388.95,0.0,1.0,0.20129852008866006,0.9795299412524945,-0.7818314824680299,0.6234898018587334,-0.11827317092136551,0.992981096013517,0.49999999999999994,0.8660254037844387,1
2023-01-01 01:00:00+00:00,3342.47,0.25881904510252074,0.9659258262890683,0.20129852008866006,0.9795299412524945,-0.7818314824680299,0.6234898018587334,-0.11827317092136551,0.992981096013517,0.49999999999999994,0.8660254037844387,1
2023-01-01 02:00:00+00:00,3192.26,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945,-0.7818314824680299,0.6234898018587334,-0.11827317092136551,0.992981096013517,0.49999999999999994,0.8660254037844387,1
2023-01-01 03:00:00+00:00,3106.97,0.7071067811865475,0.7071067811865476,0.20129852008866006,0.9795299412524945,-0.7818314824680299,0.6234898018587334,-0.11827317092136551,0.992981096013517,0.49999999999999994,0.8660254037844387,1
2023-01-01 04:00:00+00:00,3073.45,0.8660254037844386,0.5000000000000001,0.20129852008866006,0.9795299412524945,-0.7818314824680299,0.6234898018587334,-0.11827317092136551,0.992981096013517,0.49999999999999994,0.8660254037844387,1
2023-01-01 05:00:00+00:00,3088.42,0.9659258262890683,0.25881904510252074,0.20129852008866006,0.9795299412524945,-0.7818314824680299,0.6234898018587334,-0.11827317092136551,0.992981096013517,0.49999999999999994,0.8660254037844387,1
2023-01-01 06:00:00+00:00,3117.77,1.0,6.123233995736766e-17,0.20129852008866006,0.9795299412524945,-0.7818314824680299,0.6234898018587334,-0.11827317092136551,0.992981096013517,0.49999999999999994,0.8660254037844387,1
2023-01-01 07:00:00+00:00,3295.17,0.9659258262890683,-0.25881904510252063,0.20129852008866006,0.9795299412524945,-0.7818314824680299,0.6234898018587334,-0.11827317092136551,0.992981096013517,0.49999999999999994,0.8660254037844387,1
2023-01-01 08:00:00+00:00,3498.47,0.8660254037844387,-0.49999999999999983,0.20129852008866006,0.9795299412524945,-0.7818314824680299,0.6234898018587334,-0.11827317092136551,0.992981096013517,0.49999999999999994,0.8660254037844387,1
2023-01-01 09:00:00+00:00,3683.5,0.7071067811865476,-0.7071067811865475,0.20129852008866006,0.9795299412524945,-0.7818314824680299,0.6234898018587334,-0.11827317092136551,0.992981096013517,0.49999999999999994,0.8660254037844387,1
2023-01-01 10:00:00+00:00,3756.29,0.49999999999999994,-0.8660254037844387,0.20129852008866006,0.9795299412524945,-0.7818314824680299,0.6234898018587334,-0.11827317092136551,0.992981096013517,0.49999999999999994,0.8660254037844387,1
2023-01-01 11:00:00+00:00,3816.13,0.258819045102521,-0.9659258262890682,0.20129852008866006,0.9795299412524945,-0.7818314824680299,0.6234898018587334,-0.11827317092136551,0.992981096013517,0.49999999999999994,0.8660254037844387,1
2023-01-01 12:00:00+00:00,3866.21,1.2246467991473532e-16,-1.0,0.20129852008866006,0.9795299412524945,-0.7818314824680299,0.6234898018587334,-0.11827317092136551,0.992981096013517,0.49999999999999994,0.8660254037844387,1
2023-01-01 13:00:00+00:00,3865.72,-0.2588190451025208,-0.9659258262890683,0.20129852008866006,0.9795299412524945,-0.7818314824680299,0.6234898018587334,-0.11827317092136551,0.992981096013517,0.49999999999999994,0.8660254037844387,1
2023-01-01 14:00:00+00:00,3780.59,-0.4999999999999998,-0.8660254037844388,0.20129852008866006,0.9795299412524945,-0.7818314824680299,0.6234898018587334,-0.11827317092136551,0.992981096013517,0.49999999999999994,0.8660254037844387,1
2023-01-01 15:00:00+00:00,4002.83,-0.7071067811865471,-0.7071067811865479,0.20129852008866006,0.9795299412524945,-0.7818314824680299,0.6234898018587334,-0.11827317092136551,0.992981096013517,0.49999999999999994,0.8660254037844387,1
2023-01-01 16:00:00+00:00,4263.31,-0.8660254037844384,-0.5000000000000004,0.20129852008866006,0.9795299412524945,-0.7818314824680299,0.6234898018587334,-0.11827317092136551,0.992981096013517,0.49999999999999994,0.8660254037844387,1
2023-01-01 17:00:00+00:00,4111.89,-0.9659258262890683,-0.25881904510252063,0.20129852008866006,0.9795299412524945,-0.7818314824680299,0.6234898018587334,-0.11827317092136551,0.992981096013517,0.49999999999999994,0.8660254037844387,1
2023-01-01 18:00:00+00:00,3840.21,-1.0,-1.8369701987210297e-16,0.20129852008866006,0.9795299412524945,-0.7818314824680299,0.6234898018587334,-0.11827317092136551,0.992981096013517,0.49999999999999994,0.8660254037844387,1
2023-01-01 19:00:00+00:00,3687.48,-0.9659258262890684,0.2588190451025203,0.20129852008866006,0.9795299412524945,-0.7818314824680299,0.6234898018587334,-0.11827317092136551,0.992981096013517,0.49999999999999994,0.8660254037844387,1
2023-01-01 20:00:00+00:00,3506.6,-0.8660254037844386,0.5000000000000001,0.20129852008866006,0.9795299412524945,-0.7818314824680299,0.6234898018587334,-0.11827317092136551,0.992981096013517,0.49999999999999994,0.8660254037844387,1
2023-01-01 21:00:00+00:00,3353.75,-0.7071067811865477,0.7071067811865474,0.20129852008866006,0.9795299412524945,-0.7818314824680299,0.6234898018587334,-0.11827317092136551,0.992981096013517,0.49999999999999994,0.8660254037844387,1
2023-01-01 22:00:00+00:00,3228.9,-0.5000000000000004,0.8660254037844384,0.20129852008866006,0.9795299412524945,-0.7818314824680299,0.6234898018587334,-0.11827317092136551,0.992981096013517,0.49999999999999994,0.8660254037844387,1
